,urls
48,"http://poznan.wyborcza.pl/poznan/7,36001,22984918,zbrodnia-pod-sierakowem-byla-samosadem-spirala-nienawisci-zaczela.html"
49,"http://wyborcza.pl/7,75398,22985837,kandydat-do-krs-ma-na-koncie-54-przewinien-dyscyplinarnych.html"
50,"http://wroclaw.wyborcza.pl/wroclaw/7,35771,22985774,szewach-weiss-otrzyma-nagrode-im-jana-nowaka-jezioranskiego.html"
51,"http://wyborcza.pl/7,75399,22985431,rozpoczal-sie-proces-dzihadysty-salaha-abdeslama.html"
52,"http://wyborcza.pl/7,75398,22985499,wojna-dwudniowa-zalewskiego-z-zydami-i-nieoczekiwane-wsparcie.html"
53,"http://wyborcza.pl/7,75399,22985307,korea-polnocna-wysyla-do-na-igrzyska-do-pjongczangu-swojego.html"
54,"http://krakow.wyborcza.pl/krakow/7,44425,22983477,hebe-wrocila-do-domu-12-letnia-syryjka-ma-protezy.html"
55,"http://krakow.wyborcza.pl/krakow/7,44425,22984898,sad-umorzyl-sprawe-dzialan-prokuratury-i-policji-po-wypadku.html"
56,"http://wyborcza.pl/7,75399,22984678,slynny-znawca-islamu-oskarzony-o-gwalt-tymczasowy-aresztowany.html"
57,"http://wyborcza.pl/7,155287,22984285,airbnb-podzieli-sie-zyskiem-z-francuskimi-miastami-miliony.html"
58,"http://wyborcza.pl/7,75399,22984321,kurdyjska-republika-kobiet-w-syrii-w-rozawie-malzenstwa-dzieci.html"
59,"http://katowice.wyborcza.pl/katowice/7,35063,22984179,organizator-urodzin-hitlera-sie-broni-jestem-rekonstruktorem.html"
60,"http://wyborcza.pl/7,75398,22984307,fundacja-epanstwo-pozywa-ministerstwo-ziobry.html"
61,"http://bialystok.wyborcza.pl/bialystok/7,35241,22984095,jedwabne-pomozmy-zebrac-ksiazki-o-zagladzie-i-kulturze-zydowskiej.html"
62,"http://wroclaw.wyborcza.pl/wroclaw/7,35771,22983034,rynek-bez-erotyki.html"
63,"http://warszawa.wyborcza.pl/warszawa/7,54420,22983391,zdazyli-wybudowac-stadion-narodowy-a-wind-na-moscie-poniatowskiego.html"
