,article_id,author,content,date,division,highlight,is_new,last_date,lead,media_desc,media_src,media_type,title,url
0,24834357,Paweł Wroński,"Na sobotę zaplanowano posiedzenie Rady Naczelnej PSL, która ma ocenić wyniki wyborów do Parlamentu Europejskiego. W lutym Rada zdecydowała – większością głosów 88 do 8 – o przystąpieniu do Koalicji Europejskiej. Był to wynik refleksji ludowców po wyborach samorządowych, gdzie zblokowanie list dawałoby władzę w dwóch, trzech sejmikach. Teraz nastroje w partii są minorowe.– Wykonaliśmy plan, otrzymaliśmy trzy mandaty – podkreśla Piotr Zgorzelski, w przeszłości zwolennik współpracy z Koalicją Europejską. Europosłami zostali: Krzysztof Hetman, Adam Jarubas i Jarosław Kalinowski. Do zdobycia mandatu na Podkarpaciu niewiele zabrakło przewodniczącemu komisji rolnictwa Parlamentu Europejskiego Czesławowi Siekierskiemu.– Ale wynik wyborów na wsi jest naszą porażką – mówi Zgorzelski. Ludowcy są zaskoczeni, że ok. 70 proc. rolników poparło PiS, mimo pogarszającej się sytuacji w rolnictwie. Partia rządząca wygrała także w tradycyjnie popierających PSL okręgach „sadowniczych”, mimo że ostatnie dwa lata dla sadowników były katastrofą.",2019-05-27 17:15:00.000000,eurowybory 2019,"- Projekt Koalicja Europejska był przygotowany wyłącznie na wybory do europarlamentu - mówi rzecznik PSL Jakub Stefaniak. Ludowcy przyznają, że tracą wieś na rzecz PiS, i mówią o utworzeniu nowej formacji o charakterze chadecko-ludowym",False,2019-06-01 16:30:26.448651,"- Projekt Koalicja Europejska był przygotowany wyłącznie na wybory do europarlamentu - mówi rzecznik PSL Jakub Stefaniak. Ludowcy przyznają, że tracą wieś na rzecz PiS, i mówią o utworzeniu nowej formacji o charakterze chadecko-ludowym",Politycy PSL: Wejdzie Biedroń do Koalicji - my wychodzimy,blob:http://wyborcza.pl/9d231669-0515-491e-8ceb-4bd7fe5f7cb2,video,Eurowybory 2019. Ludowcy mówią o wyjściu z Koalicji Europejskiej,"http://wyborcza.pl/7,75398,24834357,euerowybory-2019-ludowcy-mowia-o-wyjsciu-z-koalicji-europejskiej.html"
1,24834169,Tadeusz Kądziela,"– Mój telefon jest bliski eksplozji. Miło jest dostawać tyle gratulacji – oznajmiła dziennikarzom 18-letnia Rosjanka Anastazja Potapowa (WTA 81) po zwycięstwie 6:4, 6:2 z Kerber (WTA 5). Ten mecz rozpoczął turniej na najbardziej prestiżowym korcie Philippe’a Chatriera, który przed tegoroczną edycją został przebudowany. Niemka wytrzymała na nim tylko 73 minuty. – Kerber jest jedną z moich idolek. Kiedy wychodzisz na kort z kimś takim, to chcesz zagrać jak najlepiej – mówiła Potapowa.Kerber miała ogromne problemy ze zdobywaniem punktów po swoim serwisie. Nie najlepiej poruszała się po korcie. Na początku maja w Madrycie doznała kontuzji kostki. Nie pojechała do Rzymu, nie pojawiła się także na benefisie Agnieszki Radwańskiej w Krakowie. Do końca próbowała przygotować się do turnieju, ale nie dała rady. Wcześniej w Paryżu też błyskała z rzadka. Jej najlepszy wynik to ćwierćfinał, w I rundzie odpadła po raz szósty.",2019-05-27 16:37:00.000000,tenis,Już pierwsza runda wielkoszlemowego turnieju w Paryżu przyniosła kilka niespodzianek. Po niedawnych kontuzjach do formy nie doszły Angelique Kerber i Karolina Woźniacka. Petra Kvitova nawet nie wyszła na kort.,False,2019-06-01 16:30:26.448651,Już pierwsza runda wielkoszlemowego turnieju w Paryżu przyniosła kilka niespodzianek. Po niedawnych kontuzjach do formy nie doszły Angelique Kerber i Karolina Woźniacka. Petra Kvitova nawet nie wyszła na kort.,Angelique Kerber,"https://bi.im-g.pl/im/8d/af/17/z24834189V,Angelique-Kerber.jpg",image,"Roland Garros już bez Angelique Kerber, Karoliny Woźniackiej, Petry Kvitovej i Venus Williams","http://wyborcza.pl/7,154903,24834169,roland-garros-juz-bez-angelique-kerber-karoliny-wozniackiej.html"
2,24834174,Rozmawiał Wacław Radziwinowicz,"Dmitrij Oreszkin*: Atak entuzjazmu, który przytrafił się części naszych polityków po amerykańskich wyborach prezydenckich, uczy, że z napojami wyskokowymi należy uważać, bo kac może trwać. W każdym razie wciąż trudno określić, czy wybór Trumpa jest dla Rosji korzystny...– Moskwa, mówiąc językiem sportowym, poprosiła o pauzę. Nie spieszy się z emocjami i komentarzami. Ci, którzy gotowi są mówić, trzymają się retoryki kampanii wyborczej. A ta u nas jest prosta. Europa gnije, liberalizm gnije, elity starego kontynentu są słabe i zdemoralizowane. Unię Europejską czeka rychły i niesławny koniec. A nad tym zamętem, bałaganem i moralnym bagnem góruje niezłomny głaz Rosji, potężnej swym przywiązaniem do wartości tradycyjnych i żelaznych, prastarych norm etycznych. I w takim tonie dzień po wyborach na kontynencie się u nas mówi.",2019-05-27 16:34:00.000000,Świat,"Nie ma mowy o inspirowanym przez Moskwę ""tabunie koni trojańskich"", które zaciągną rydwan UE do przepaści - zapewnia ""Wyborczą"" rosyjski politolog Dmitrij Orieszkin. - A z waszym Jarosławem Kaczyńskim nic wspólnie ugrać się nie da. Moskwa będzie więc tylko biernie, ale z radością przyglądać się, jak on sam, nic nas przy tym nie kosztując, wstawia kije w szprychy integracji europejskiej.",False,2019-06-01 16:30:26.448651,"Nie ma mowy o inspirowanym przez Moskwę ""tabunie koni trojańskich"", które zaciągną rydwan UE do przepaści - zapewnia ""Wyborczą"" rosyjski politolog Dmitrij Orieszkin. - A z waszym Jarosławem Kaczyńskim nic wspólnie ugrać się nie da. Moskwa będzie...","26.05.2019, Budapeszt. Premier Viktor Orban przemawia po zwycięstwie jego partii w eurowyborach na Węgrzech.","https://bi.im-g.pl/im/70/af/17/z24834160V,26-05-2019--Budapeszt--Premier-Viktor-Orban-przema.jpg",image,Muł lub osioł trojański Rosji w wyborach do Parlamentu Europejskiego,"http://wyborcza.pl/7,75399,24834174,mul-lub-osiol-trojanski-trojanski-rosji-w-wyborach-do-parlamentu.html"
