Unnamed: 0,Unnamed: 0.1,article_id,author,content,date,division,highlight,is_new,last_date,lead,media_desc,media_src,media_type,title,url
,,24821114,Marcin Pietraszewski,,2019-05-24 08:03:00,,,True,2019-05-28 15:34:50.464776,"24-letni mieszkaniec Gliwic uwięził w wersalce, a potem zgwałcił 9-letnią dziewczynkę. Wcześniej przez pięć lat przebywał w szpitalu psychiatrycznym. - Został z niego zwolniony, bo lekarze stwierdzili, że nie zachodzi duże prawdopodobieństwo, iż...",,,,"Lekarze stwierdzili, że pedofil z Gliwic nie jest groźny. Wyszedł ze szpitala i zgwałcił 9-latkę","http://gliwice.wyborcza.pl/gliwice/7,95519,24821114,lekarze-stwierdzili-ze-pedofil-z-gliwic-nie-jest-grozny-wyszedl.html"
,,24821055,Anna Gorczyca,,2019-05-24 06:38:00,,,True,2019-05-28 15:34:50.464776,"Eurowybory 2019. Ludzie związani z narodowcami, antysystemowcami, znaleźli się niemal we wszystkich komisjach wyborczych. Wykorzystali nowe prawo uchwalone przez PiS. Tak skrajne organizacje przygotowują się do jesiennych wyborów parlamentarnych.",,,,"Narodowcy i antysystemowcy niemal w każdej komisji na Podkarpaciu. Okazja, żeby się zapromować przed jesiennymi wyborami","http://rzeszow.wyborcza.pl/rzeszow/7,34962,24821055,narodowcy-i-antysystemowcy-niemal-w-kazdej-komisji-na-podkarpaciu.html"
,,24821441,Marcin Czyżewski,,2019-05-24 10:05:00,,,True,2019-05-28 15:34:50.464776,"Sytuacja powodziowa na Podbeskidziu, Śląsku Cieszyńskim i Żywiecczyźnie powoli się stabilizuje. Strażacy wciąż usuwają skutki intensywnych opadów.",,,,Poziom wód w rzekach nieco się obniżył. Strażacy wciąż bronią zapory,"http://bielskobiala.wyborcza.pl/bielskobiala/7,88025,24821441,poziom-wod-w-rzekach-nieco-sie-obnizyl-strazacy-wciaz-bronia.html"
,,24821381,Paweł Kośmiński,,2019-05-24 10:08:00,,,True,2019-05-28 15:34:50.464776,"- Tylko te najbogatsze gospodarstwa, ale to jest kilka procent, mogłyby przejść przez to suchą nogą - tak przestrzega Jarosław Kaczyński w Polskim Radiu przed konsekwencjami przejęcia władzy przez opozycję. Prowadząca przywołuje ""publicystyczne...",,,,"Eurowybory 2019. Kaczyński mobilizuje wyborców i straszy chorobą, którą próbuje się w Polsce zaszczepić","http://wyborcza.pl/7,75398,24821381,kaczynski-mobilizuje-wyborcow-i-straszy-choroba-ktora-probuje.html"
,,24820480,Jarosław Sidorowicz,,2019-05-24 07:10:00,,,True,2019-05-28 15:34:50.464776,"Szturm przedstawicieli małych prawicowych, często skrajnych formacji na obwodowe komisje wyborcze w eurowyborach.",,,,Eurowybory 2019. Prawica wchodzi do komisji wyborczych,"http://krakow.wyborcza.pl/krakow/7,44425,24820480,eurowybory-2019-prawica-wchodzi-do-komisji-wyborczych.html"
,,24821390,Stanisław Skarżyński  Londyn,,2019-05-24 09:44:00,,,True,2019-05-28 15:34:50.464776,BREXIT Z BLISKA. Tysiące wyborców bez brytyjskiego paszportu znalazło w czwartek swoje nazwiska przekreślone na listach osób uprawnionych do głosowania na kandydatów do Parlamentu Europejskiego.,,,,Odebrano nam prawo do głosu!. Wybory do PE na Wyspach w cieniu skandalu związanego z dyskryminacją obywateli UE,"http://wyborcza.pl/7,75399,24821390,odebrano-nam-prawo-do-glosu-wybory-do-pe-na-wyspach-w-cieniu.html"
,,24821055,Anna Gorczyca,,2019-05-24 06:38:00,,,True,2019-05-28 15:34:50.464776,"Eurowybory 2019. Ludzie związani z narodowcami, antysystemowcami znaleźli się niemal we wszystkich komisjach wyborczych. Wykorzystali nowe prawo uchwalone przez PiS. Tak skrajne organizacje przygotowują się do jesiennych wyborów parlamentarnych.",,,,"Narodowcy i antysystemowcy niemal w każdej komisji na Podkarpaciu. Okazja, żeby się zapromować przed jesiennymi wyborami","http://rzeszow.wyborcza.pl/rzeszow/7,34962,24821055,narodowcy-i-antysystemowcy-niemal-w-kazdej-komisji-na-podkarpaciu.html"
,,24821904,Maciej Czarnecki,,2019-05-24 11:18:00,,,True,2019-05-28 15:34:50.464776,Premier Wielkiej Brytanii ogłosiła swoją decyzję w piątkowym oświadczeniu na Downing Street. Jeszcze w czerwcu rozpoczną się wybory nowego lidera konserwatystów.,,,,Theresa May rezygnuje ze stanowiska. Odejdzie 7 czerwca,"http://wyborcza.pl/7,75399,24821904,pilne-theresa-may-rezygnuje-ze-stanowiska-odejdzie-7-czerwca.html"
,,24821374,Piotr Bera,,2019-05-24 09:48:00,,,True,2019-05-28 15:34:50.464776,"- Wzywamy do zaprzestania publikowania i rozpowszechniania nieprawdziwych, niepotwierdzonych informacji naruszających dobre imię jego eminencji księdza kardynała Henryka Gulbinowicza - powiedzieli w piątek rano prawnicy kardynała. Grożą sądem za...",,,,Prawnicy kardynała Gulbinowicza grożą mediom sądem za powielanie insynuacji o zarzutach molestowania seksualnego,"http://wroclaw.wyborcza.pl/wroclaw/7,35771,24821374,prawnicy-kardynala-gulbinowicza-o-zarzutach-molestowania-seksualnego.html"
,,24822112,tc,,2019-05-24 11:57:00,,,True,2019-05-28 15:34:50.464776,"Dwa i pół roku spędzi w więzieniu Krzysztof G., były policjant z Brodnicy. Sąd nieprawomocnie skazał go za seksualne ""nadużycie stosunku zależności"".",,,,Więzienie dla byłego policjanta za gwałt w komendzie,"http://torun.wyborcza.pl/torun/7,48723,24822112,wiezienie-dla-bylego-policjanta-za-seks-na-komendzie.html"
