,urls
46,"http://wroclaw.wyborcza.pl/wroclaw/7,35771,24663773,przepedzona-za-teczowa-flage-z-manifestacji-poparcia-dla-nauczycieli.html"
47,"http://wyborcza.pl/7,75398,24663801,blisko-6-mln-zl-na-wsparcie-strajkujacych-nauczycieli-zbiorka.html"
48,"http://wyborcza.pl/7,113768,24663670,jarocin-jednak-sie-odbedzie-w-ostatniej-chwili-do-organizacji.html"
49,"http://wyborcza.pl/7,154903,24663646,wstrzasnal-swiatem-bo-nie-chcial-znowu-zawiesc-dzieci-niesamowity.html"
50,"http://wroclaw.wyborcza.pl/wroclaw/7,35771,24662341,miliony-wydano-na-nowa-droge-wojewodzka-ale-sluzy-jako-deptak.html"
51,"http://wyborcza.pl/7,75399,24662471,algieria-libia-jordania-maroko-sudan-czy-to-druga-arabska.html"
52,"http://wyborcza.pl/7,75399,24663630,pali-sie-katedra-notre-dame.html"
53,"http://poznan.wyborcza.pl/poznan/7,36001,24663126,strajk-nauczycieli-uczniowie-poznanskich-szkol-wychodza-na.html"
54,"http://krakow.wyborcza.pl/krakow/7,44425,24663512,google-blokuje-aplikacje-ratunek-miala-ratowac-ale-nie.html"
55,"http://wyborcza.biz/biznes/7,147880,24663494,morawiecki-oglosil-ostateczny-rozbior-ofe.html"
56,"http://kielce.wyborcza.pl/kielce/7,47262,24663425,wyrzucil-dwa-psy-z-okna-dziewiatego-pietra-po-co-sie-bedziesz.html"
57,"http://wyborcza.pl/7,154903,24663467,iga-swiatek-zostala-tenisistka-numer-jeden-w-polsce-i-wrocila.html"
58,"http://szczecin.wyborcza.pl/szczecin/7,34939,24663019,czy-uczniowie-otrzymaja-klasyfikacje-do-matury-dzisiaj-nie.html"
59,"http://wyborcza.pl/7,155287,24663113,raport-pwc-znowu-duzy-wzrost-na-polskich-lotniskach-w-tym.html"
60,"http://warszawa.wyborcza.pl/warszawa/7,54420,24663426,koledzy-z-osiedla-wlamali-sie-do-sasiada-dzgali-go-dlutem.html"
61,"http://wyborcza.pl/7,75398,24663357,sondaz-cbos-43-proc-dla-pis-w-sejmie-tylko-trzy-partie.html"
62,"http://poznan.wyborcza.pl/poznan/7,36001,24663292,strajk-nauczycieli-czy-beda-matury-dyrektor-powiedzial-ze.html"
63,"http://warszawa.wyborcza.pl/warszawa/7,54420,24663295,co-z-modernizacja-skry-remont-prawem-kaduka-blokuje-szef-klubu.html"
64,"http://bialystok.wyborcza.pl/bialystok/7,35241,24662838,strajk-nauczycieli-pisanki-ze-wsparciem-z-uniwersytetu-w-bialymstoku.html"
65,"http://wyborcza.pl/7,75398,24663182,beata-szydlo-do-nauczycieli-zawiescie-strajk-do-czasu-okraglego.html"
66,"http://wyborcza.pl/7,155287,24662773,byly-szef-volkswagena-ma-w-niemczech-zarzuty-za-spalinowy-szwindel.html"
67,"http://bielskobiala.wyborcza.pl/bielskobiala/7,88025,24662727,nauczycielka-apeluje-do-swoich-kolegow-nie-dajmy-sie-podzielic.html"
68,"http://wyborcza.pl/7,75400,24662271,nasa-podsumowala-projekt-blizniaki-ktory-ma-nas-przygotowac.html"
69,"http://trojmiasto.wyborcza.pl/trojmiasto/7,35612,24661711,solidarnosc-musi-przeprosic-kod-za-esbekow-sad-apelacyjny.html"
70,"http://katowice.wyborcza.pl/katowice/7,35063,24663008,nauczyciele-w-milczacym-protescie-jestesmy-jak-wyrzut-sumienia.html"
71,"http://wyborcza.pl/7,155287,24662770,bunt-w-domu-opieki-orpea-zwolnila-szefowa-zwiazku-zawodowego.html"
72,"http://wyborcza.pl/7,75398,24663077,unijny-trybunal-sprawiedliwosci-wzywa-nowa-krs-do-luksemburga.html"
73,"http://wroclaw.wyborcza.pl/wroclaw/7,35771,24662995,kosci-ludzkie-w-wykopie-pod-rurociag-na-miejsce-wezwano-policje.html"
74,"http://zielonagora.wyborcza.pl/zielonagora/7,35182,24662060,bo-pani-minister-bo-pani-minister-nas-odwiedzila-spiewaly.html"
75,"http://trojmiasto.wyborcza.pl/trojmiasto/7,35612,24662628,strajk-nauczycieli-maturzystki-z-kwidzyna-napisaly-do-anny.html"
76,"http://katowice.wyborcza.pl/katowice/7,35063,24662899,posel-pis-pozywa-za-slowa-jestes-wiekszym-ciulem-niz-kaluza.html"
77,"http://wyborcza.biz/biznes/7,147880,24662806,morawiecki-oglosil-ostateczny-rozbior-ofe.html"
78,"http://wyborcza.pl/7,75399,24662709,10-mld-m-szesc-gazu-rocznie-z-norwegii-unia-wspiera-baltic.html"
79,"http://wyborcza.pl/7,75398,24662026,minister-macierewicz-kontra-fakty.html"
80,"http://wyborcza.pl/7,156282,24661845,panstwa-unii-europejskiej-przyjely-dyrektywe-o-prawach-autorskich.html"
81,"http://katowice.wyborcza.pl/katowice/7,35063,24662620,sedziowie-nie-chca-pracowac-z-bylym-prezesem-od-ziobry-niech.html"
82,"http://wyborcza.pl/7,155287,24661637,sa-unijne-pieniadze-na-baltic-pipe-umowa-podpisana.html"
83,"http://wyborcza.pl/7,75399,24662064,socjaldemokraci-o-wlos-wygrali-wybory-w-finlandii-tuz-za-nimi.html"
84,"http://krakow.wyborcza.pl/krakow/7,44425,24662272,wypadek-beaty-szydlo-swiadkowie-nie-bylo-sygnalow-dzwiekowych.html"
85,"http://wyborcza.pl/7,155287,24661588,jak-inflacja-zjada-transfery-pieniezne-rzadu.html"
86,"http://poznan.wyborcza.pl/poznan/7,36001,24661625,pocial-maczeta-rece-nogi-i-twarz-kobiety-odrabal-palec-twierdzi.html"
87,"http://trojmiasto.wyborcza.pl/trojmiasto/7,35612,24661483,dulkiewicz-przedstawila-swoich-zastepcow-alan-aleksandrowicz.html"
88,"http://wyborcza.pl/7,75399,24661843,kuba-szykuje-sie-na-wielki-kryzys-przez-chaos-w-wenezueli.html"
89,"http://warszawa.wyborcza.pl/warszawa/7,54420,24661721,zagrozone-matury-w-warszawskich-liceach.html"
90,"http://lodz.wyborcza.pl/lodz/7,35136,24661388,zapraszal-terroryste-z-nowej-zelandii-do-lodzi-prokuratura.html"
91,"http://warszawa.wyborcza.pl/warszawa/7,54420,24661693,pozar-w-vitkacu-z-budynku-domu-handlowego-ewakuowano-200-osob.html"
92,"http://warszawa.wyborcza.pl/warszawa/7,54420,24660944,zdjecia-martwych-plodow-na-patelni-czytelnik-co-tam-robi.html"
93,"http://wyborcza.pl/7,75398,24660970,jak-urzadzic-polske-po-pis-zeby-nie-wejsc-w-ich-buty-dr-maciej.html"
94,"http://wyborcza.pl/7,155287,24660633,unijne-przepisy-na-nord-stream-2-ostatecznie-zatwierdzone.html"
95,"http://warszawa.wyborcza.pl/warszawa/7,54420,24660750,warszawa-bez-plastiku-szybciej-niz-kaze-nam-unia-europejska.html"
96,"http://krakow.wyborcza.pl/krakow/7,44425,24660907,policja-opublikuje-portret-narciarza-ktory-potracil-na-stoku.html"
97,"http://krakow.wyborcza.pl/krakow/7,44425,24660379,strajk-nauczycieli-krakowscy-uczniowie-pisza-do-minister-zalewskiej.html"
98,"http://poznan.wyborcza.pl/poznan/7,36001,24660615,strajk-nauczycieli-cala-polska-wspiera-dyrektorke-szkoly-zaatakowana.html"
99,"http://krakow.wyborcza.pl/krakow/7,44425,24660588,bez-wyborow-w-pis-ie-po-to-zeby-pis-nie-walczyl-z-pis-em.html"
100,"http://katowice.wyborcza.pl/katowice/7,35063,24660231,slascy-sedziowie-na-daja-sie-zastraszyc-kartoniada-przed-sadem.html"
101,"http://bialystok.wyborcza.pl/bialystok/7,35241,24660393,puszcza-bialowieska-lasy-panstwowe-strasza-eksplozja-magazynu.html"
102,"http://wyborcza.pl/7,155287,24648590,ekologia-wypchnela-auta-lada-z-europy.html"
103,"http://warszawa.wyborcza.pl/warszawa/7,54420,24659252,dzialacz-lgbt-przerabia-ulotki-religijnej-organizacji-i.html"
104,"http://radom.wyborcza.pl/radom/7,48201,24658827,lotnisko-w-radomiu-radny-idzie-do-sadu-przeciwko-wladzom-miasta.html"
105,"http://warszawa.wyborcza.pl/warszawa/7,54420,24658986,pedagozka-z-warszawy-zawieszam-strajk-na-czas-egzaminow-osmoklasisty.html"
106,"http://kielce.wyborcza.pl/kielce/7,47262,24658080,straty-szpitali-jakich-nie-bylo-samorzady-musza-znalezc-miliony.html"
107,"http://warszawa.wyborcza.pl/warszawa/7,54420,24658829,straz-miejska-przyjezdza-dobe-po-zgloszeniu-dlaczego-tak.html"
108,"http://krakow.wyborcza.pl/krakow/7,44425,24659294,ks-babiarz-zablokowal-w-bankach-dostep-dotychczasowemu-zarzadowi.html"
109,"http://wyborcza.pl/7,154903,24658620,kijem-i-marchewa-czyli-psychomachia-w-sporcie.html"
110,"http://krakow.wyborcza.pl/krakow/7,44425,24659038,brakuje-okulistow-kto-bedzie-leczyl-w-szpitalach-i-przychodniach.html"
111,"http://trojmiasto.wyborcza.pl/trojmiasto/7,35612,24644899,pierwszy-wyrok-ws-amber-gold-zapadnie-siedem-lat-po-upadku.html"
112,"http://wyborcza.pl/7,75400,24658801,7-rzeczy-ktorych-nie-wiedzielismy-tydzien-temu.html"
113,"http://wyborcza.pl/TylkoZdrowie/7,157387,24658069,pogoda-w-poniedzialek-15-kwietnia-2019-r.html"
114,"http://wyborcza.pl/7,155287,24645212,grzeznac-w-zatorze-od-gddkia.html"
115,"http://bydgoszcz.wyborcza.pl/bydgoszcz/7,48722,24645185,tym-mieczem-najpewniej-walczono-o-bydgoski-zamek-z-krzyzakami.html"
116,"http://wyborcza.pl/7,75399,24658034,juliusz-cezar-mussolini-wloska-prawica-wystawia-do-europarlamentu.html"
117,"http://wyborcza.pl/7,75398,24659148,niesmaczna-kielbasa-wyborcza-tylko-wyborcy-pis-popieraja-piatke.html"
118,"http://wyborcza.pl/7,75398,24659025,juz-tydzien-strajku-ale-konca-nie-widac-egzamin-osmoklasisty.html"
119,"http://wyborcza.pl/7,75398,24659224,ulatwienie-utrapieniem-dla-chorych-z-e-zlecenia-wyszedl-e-potworek.html"
